AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,input,naturalLanguageDescription,label,numLabel
0.3200707436,0.4564200044,0.311255306,0.2440146506,0.9181392789,1.0,0.5382641554,0.9972894192,0.494322896,0.8619499207,0.6084435582,0.3392649293,0.2065983266,1.0,0.1954420358,0.3358165324,0.995893836,0.4650882483,0.1656902879,0.5495877862,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\110001\1100011081\1100011081.avi,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.9972894192; Lip Corner Puller, using the muscles: Zygomaticus Major, with a value of 0.8619499207; Dimpler, using the muscles: Buccinator, with a value of 0.6084435582; Lip Stretcher, using the muscles: Risorius, Platysma, with a value of 1.0; Lip Part, using the muscles: Depressor Labii Inferioris, with a value of 0.995893836; Eyes Closed, using the muscles: Levator Palebrae Superioris (relaxation), with a value of 0.5495877862; ",engaged,1
0.231977582,0.485473603,0.2490601242,0.5485636592,0.1207334995,0.0,0.2817735374,0.120104216,0.4703752995,0.3921127617,0.2314951867,0.2386159599,0.2915865779,1.0,0.5253676176,0.368249923,0.9638450742,0.6595999002,0.1005004719,0.0565366149,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\200050\2000501040\2000501040.avi,"Lip Stretcher, using the muscles: Risorius, Platysma, with a value of 1.0; Lip Tightener, using the muscles: Orbicularis Oris, with a value of 0.5253676176; Lip Part, using the muscles: Depressor Labii Inferioris, with a value of 0.9638450742; Jaw Drop, using the muscles: Masseter, Temporalis, Medial Pterygoid, with a value of 0.6595999002; ",engaged,1
0.3622319996,0.5241751671,0.597142756,0.5820240378,0.1060512885,0.0,0.2030291259,0.2825014889,0.4883979559,0.1477604806,0.5801349282,0.192979157,0.5200104713,1.0,0.2938401401,0.5817558765,0.2468140721,0.1384618133,0.1780191064,0.0284535736,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Validation\410032\4100321034\4100321034.avi,"Dimpler, using the muscles: Buccinator, with a value of 0.5801349282; Chin Raiser, using the muscles: Mentalis, with a value of 0.5200104713; Lip Stretcher, using the muscles: Risorius, Platysma, with a value of 1.0; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5817558765; ",engaged,1
0.2885220647,0.4926843941,0.4226935208,0.3425064683,0.171209693,1.0,0.4384021759,0.0734924823,0.4659834504,0.0652899966,0.1907299012,0.3945609033,0.6562030911,0.0,0.6309345365,0.5795997977,0.0355983861,0.1231794283,0.0780115724,0.1411723942,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Validation\567496\5674960154\5674960154.avi,"Chin Raiser, using the muscles: Mentalis, with a value of 0.6562030911; Lip Tightener, using the muscles: Orbicularis Oris, with a value of 0.6309345365; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5795997977; ",engaged,1
0.1691172719,0.4604869485,0.5397801399,0.3606175184,0.4972552061,1.0,0.4247957766,0.8016988635,0.4648343027,0.240869835,0.5419309139,0.2649273872,0.5867013931,0.0,0.2391343713,0.5832594037,0.0165087488,0.09674941,0.037656378,0.0899519026,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\210052\2100521024\2100521024.avi,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.8016988635; Dimpler, using the muscles: Buccinator, with a value of 0.5419309139; Chin Raiser, using the muscles: Mentalis, with a value of 0.5867013931; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5832594037; ",engaged,1
0.4426849484,0.5130982995,0.2310886383,0.4636818171,0.2291958928,0.0,0.3206557631,0.3657620549,0.4761734605,0.2057879567,0.3495890796,0.3085796833,0.6278115511,0.0,0.5009759665,0.4880283475,0.1132875532,0.1722676456,0.1329365224,0.1130621359,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Test\826412\826412027\826412027.avi,"Chin Raiser, using the muscles: Mentalis, with a value of 0.6278115511; Lip Tightener, using the muscles: Orbicularis Oris, with a value of 0.5009759665; ",engaged,1
0.4439021945,0.4776616693,0.5892140865,0.6678055525,0.1203466207,0.0,0.1183317229,0.0632041618,0.4894904792,0.1926012039,0.1757737994,0.0778813437,0.2420156747,1.0,0.3461252153,0.4207608104,0.9980083108,0.5244334936,0.169105351,0.1272650212,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\110017\1100171004\1100171004.avi,"Lip Stretcher, using the muscles: Risorius, Platysma, with a value of 1.0; Lip Part, using the muscles: Depressor Labii Inferioris, with a value of 0.9980083108; Jaw Drop, using the muscles: Masseter, Temporalis, Medial Pterygoid, with a value of 0.5244334936; ",bored,3
0.2712438405,0.5658539534,0.3608495891,0.3513601422,0.9144974351,1.0,0.4330632687,0.995921731,0.4741383791,0.9010930061,0.5850836635,0.1902427226,0.3152677119,1.0,0.2942922115,0.3341376185,0.9992614388,0.281493634,0.0785356909,0.1319761574,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\248510\248510216\248510216.mp4,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.995921731; Lip Corner Puller, using the muscles: Zygomaticus Major, with a value of 0.9010930061; Dimpler, using the muscles: Buccinator, with a value of 0.5850836635; Lip Stretcher, using the muscles: Risorius, Platysma, with a value of 1.0; Lip Part, using the muscles: Depressor Labii Inferioris, with a value of 0.9992614388; ",engaged,1
0.2968237102,0.4340294003,0.4746502638,0.4015461504,0.1452292204,1.0,0.2026624233,0.2695568502,0.5067538023,0.2223567814,0.4784385264,0.205275923,0.5273612738,0.0,0.4357411861,0.5625850558,0.1213780493,0.1261953264,0.2889592648,0.0187677611,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Test\510009\5100091055\5100091055.avi,"Nasolabial Deepener, using the muscles: Zygomaticus Minor, with a value of 0.5067538023; Chin Raiser, using the muscles: Mentalis, with a value of 0.5273612738; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5625850558; ",engaged,1
0.5541503429,0.6256167889,0.390363723,0.4646227658,0.4152075648,0.0,0.4250434339,0.0524060093,0.4778470099,0.2564802766,0.3253294826,0.2491998672,0.6155508161,0.0,0.1807461232,0.4983579516,0.0265198369,0.4975474477,0.0144827804,0.1154805422,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Validation\400023\4000231021\4000231021.avi,"Chin Raiser, using the muscles: Mentalis, with a value of 0.6155508161; ",engaged,1
0.2469386309,0.4799231887,0.7727557421,0.4081554711,0.1501828283,0.0,0.2216946036,0.0071202829,0.4645149708,0.1419331729,0.2235599309,0.3422825634,0.5601147413,0.0,0.4088551104,0.5209869146,0.146501869,0.2698925734,0.1377505809,0.0730753317,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\210059\2100591020\2100591020.avi,"Chin Raiser, using the muscles: Mentalis, with a value of 0.5601147413; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5209869146; ",engaged,1
0.1650990546,0.3493190706,0.2833753228,0.5016986728,0.2997540832,1.0,0.4460704327,0.9613745213,0.5003029108,0.3555701375,0.6118317842,0.0205505043,0.2132303864,1.0,0.1840759814,0.3470367789,0.9852449298,0.2342532575,0.1000969186,0.1761779189,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\310082\3100821021\3100821021.avi,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.9613745213; Nasolabial Deepener, using the muscles: Zygomaticus Minor, with a value of 0.5003029108; Dimpler, using the muscles: Buccinator, with a value of 0.6118317842; Lip Stretcher, using the muscles: Risorius, Platysma, with a value of 1.0; Lip Part, using the muscles: Depressor Labii Inferioris, with a value of 0.9852449298; ",engaged,1
0.2219260633,0.5059034228,0.4165723324,0.4951197505,0.1462298632,1.0,0.2240795791,0.1440321058,0.4663616717,0.1709497571,0.2836561799,0.2346996367,0.590937376,0.0,0.2491722852,0.4992943108,0.0319440477,0.1470886022,0.1261157244,0.0523979701,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\310078\3100781001\3100781001.avi,"Chin Raiser, using the muscles: Mentalis, with a value of 0.590937376; ",engaged,1
0.2941783369,0.3981281519,0.4272622764,0.3728609681,0.2489905208,0.0,0.2041122764,0.0034618373,0.4684643745,0.2036791742,0.3971067369,0.400726676,0.5579484105,0.0,0.2955217659,0.5576473475,0.2152740955,0.2155622393,0.1144829243,0.0292148106,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Validation\410020\4100201010\4100201010.avi,"Chin Raiser, using the muscles: Mentalis, with a value of 0.5579484105; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5576473475; ",engaged,1
0.3004389107,0.4068539739,0.1129407436,0.6260821223,0.1172394156,0.0,0.1735579818,0.8080465794,0.4684976637,0.1134772375,0.2087675035,0.3468915522,0.5906915665,0.0,0.3869744539,0.4476588666,0.1225605235,0.2834756672,0.0409443565,0.025456151,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Validation\591292\5912920256\5912920256.avi,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.8080465794; Chin Raiser, using the muscles: Mentalis, with a value of 0.5906915665; ",engaged,1
0.3413254023,0.4379015267,0.4203216434,0.6526441574,0.0893978998,1.0,0.1848712116,0.3736152649,0.500397265,0.069333598,0.3724577427,0.0520634465,0.5756023526,0.0,0.4992390573,0.4911275506,0.0076662335,0.0693523139,0.033647567,0.04912268,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\110017\1100171073\1100171073.avi,"Nasolabial Deepener, using the muscles: Zygomaticus Minor, with a value of 0.500397265; Chin Raiser, using the muscles: Mentalis, with a value of 0.5756023526; ",engaged,1
0.2735191286,0.3815349042,0.2247874141,0.4127861857,0.3898329139,0.0,0.2758292556,0.0524440296,0.4780513644,0.1953993291,0.4881718159,0.3676876426,0.5673669577,0.0,0.267862916,0.5600683689,0.2357867062,0.2343086004,0.1994006485,0.5495891571,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Test\510040\5100402035\5100402035.avi,"Chin Raiser, using the muscles: Mentalis, with a value of 0.5673669577; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5600683689; Eyes Closed, using the muscles: Levator Palebrae Superioris (relaxation), with a value of 0.5495891571; ",engaged,1
0.2468715608,0.4005099535,0.5127880573,0.3984761238,0.0944884121,1.0,0.1640390307,0.3286774457,0.4633716941,0.0499548018,0.192624867,0.5269586444,0.5316096544,0.0,0.35668993,0.4476875067,0.0261061322,0.1114298925,0.0909843817,0.0424106047,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Validation\410029\4100291049\4100291049.avi,"Lip Corner Depressor, using the muscles: Depressor Anguli Oris, with a value of 0.5269586444; Chin Raiser, using the muscles: Mentalis, with a value of 0.5316096544; ",bored,3
0.4649517238,0.5854766965,0.4210269451,0.4911220968,0.4995912015,1.0,0.3461476862,0.7868443131,0.4773433208,0.4063884914,0.4244377911,0.3005869687,0.5211094022,0.0,0.4477389753,0.5686609745,0.5253853798,0.3268642724,0.5060106516,0.032119602,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\200050\2000502041\2000502041.avi,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.7868443131; Chin Raiser, using the muscles: Mentalis, with a value of 0.5211094022; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5686609745; Lip Part, using the muscles: Depressor Labii Inferioris, with a value of 0.5253853798; Lip Suck, using the muscles: Orbicularis Oris, with a value of 0.5060106516; ",engaged,1
0.2457705736,0.4249586463,0.387381196,0.4123211503,0.7138667107,1.0,0.2589856088,0.280592382,0.4967443943,0.7802552581,0.6297336817,0.0435572602,0.5326836109,1.0,0.2012006342,0.5633080602,0.1838008463,0.0743369907,0.013495299,0.020597063,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Test\510009\5100092064\5100092064.avi,"Lip Corner Puller, using the muscles: Zygomaticus Major, with a value of 0.7802552581; Dimpler, using the muscles: Buccinator, with a value of 0.6297336817; Chin Raiser, using the muscles: Mentalis, with a value of 0.5326836109; Lip Stretcher, using the muscles: Risorius, Platysma, with a value of 1.0; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5633080602; ",engaged,1
0.2430192381,0.4019173682,0.4766166806,0.3672125638,0.1213841736,1.0,0.3143100739,0.9012104869,0.4675101638,0.1010255963,0.1572570503,0.1868667305,0.5428135395,0.0,0.3688621521,0.4475214183,0.0720064566,0.114962101,0.097336933,0.0262662619,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\110015\1100151019\1100151019.avi,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.9012104869; Chin Raiser, using the muscles: Mentalis, with a value of 0.5428135395; ",engaged,1
0.5475040078,0.5217455029,0.5491346121,0.5870626569,0.1133697778,0.0,0.1784450114,0.0072194124,0.4717750847,0.0363403782,0.1214444041,0.0538452491,0.6337680817,0.0,0.3596020043,0.4651875496,0.0296017826,0.0677437931,0.2326966524,0.0760639459,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\240846\2408460145\2408460145.avi,"Chin Raiser, using the muscles: Mentalis, with a value of 0.6337680817; ",engaged,1
0.3080591261,0.3963807821,0.4681794047,0.3535919785,0.1147310659,1.0,0.3881933987,0.239379406,0.4640081227,0.1111812815,0.6142796874,0.3378691971,0.4369805753,1.0,0.6647847891,0.5619622469,0.5262209177,0.141570121,0.0299637318,0.2090180069,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Test\500095\5000951066\5000951066.avi,"Dimpler, using the muscles: Buccinator, with a value of 0.6142796874; Lip Stretcher, using the muscles: Risorius, Platysma, with a value of 1.0; Lip Tightener, using the muscles: Orbicularis Oris, with a value of 0.6647847891; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5619622469; Lip Part, using the muscles: Depressor Labii Inferioris, with a value of 0.5262209177; ",engaged,1
0.2321982384,0.4133848548,0.3136725724,0.4093458056,0.1395145059,0.0,0.2529827356,0.7659184337,0.4611065984,0.1366576105,0.4724435806,0.1669631302,0.4713875353,0.0,0.4118295014,0.470564574,0.0065690116,0.1166080013,0.064126417,0.0493557192,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Validation\410025\4100252021\4100252021.avi,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.7659184337; ",bored,3
0.2041327357,0.3916785717,0.5060193539,0.2802444398,0.3935610652,0.0,0.4222546816,0.2019149363,0.4975036383,0.571013689,0.6305802464,0.400567621,0.4190151095,1.0,0.3435481489,0.5550102592,0.9452905059,0.1470845789,0.0644188896,0.2262461036,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Test\510038\5100382071\5100382071.avi,"Lip Corner Puller, using the muscles: Zygomaticus Major, with a value of 0.571013689; Dimpler, using the muscles: Buccinator, with a value of 0.6305802464; Lip Stretcher, using the muscles: Risorius, Platysma, with a value of 1.0; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5550102592; Lip Part, using the muscles: Depressor Labii Inferioris, with a value of 0.9452905059; ",engaged,1
0.295701921,0.3975715339,0.4913837314,0.2598549128,0.2553464174,1.0,0.5009393692,0.1659168452,0.4800219238,0.2644720078,0.5011453629,0.2479245663,0.6214700937,0.0,0.5436019301,0.5911792517,0.005563674,0.0849207863,0.2228720039,0.2207857519,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Test\907001\907001280\907001280.mp4,"Dimpler, using the muscles: Buccinator, with a value of 0.5011453629; Chin Raiser, using the muscles: Mentalis, with a value of 0.6214700937; Lip Tightener, using the muscles: Orbicularis Oris, with a value of 0.5436019301; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5911792517; ",engaged,1
0.4812433124,0.5298997164,0.4352093637,0.4278761744,0.412226975,0.0,0.2050618976,0.1942999661,0.4755560458,0.2167685926,0.2542605698,0.2036059201,0.5292154551,0.0,0.3283159137,0.566999197,0.8548027873,0.1547105461,0.0091313608,0.086401999,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\200054\2000541025\2000541025.avi,"Chin Raiser, using the muscles: Mentalis, with a value of 0.5292154551; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.566999197; Lip Part, using the muscles: Depressor Labii Inferioris, with a value of 0.8548027873; ",engaged,1
0.2189327925,0.4753807187,0.4061717391,0.5065922737,0.4390133917,0.0,0.4259647131,0.751234591,0.4723874331,0.1937172711,0.3757877946,0.1463932544,0.4971688092,0.0,0.253634721,0.5832594037,0.0410174392,0.2408633679,0.0502865613,0.1852643937,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\210052\2100522039\2100522039.avi,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.751234591; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5832594037; ",engaged,1
0.3876606822,0.4464406967,0.4609999657,0.6952015758,0.0787509382,0.0,0.139860943,0.128217414,0.4596840143,0.0440313518,0.2838837802,0.2206230015,0.4502256513,0.0,0.5077505708,0.4479639232,0.0038393072,0.0524458773,0.0470289998,0.0190444756,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\181374\181374027\181374027.avi,"Lip Tightener, using the muscles: Orbicularis Oris, with a value of 0.5077505708; ",engaged,1
0.2710806429,0.3947146833,0.2890630662,0.6689214706,0.1321408451,0.0,0.2212981731,0.1479423046,0.4622889161,0.2007328868,0.2906506062,0.3220187128,0.496303916,0.0,0.3416635394,0.5576473475,0.0020555349,0.1226167157,0.1792275161,0.0372094698,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Validation\400033\4000332039\4000332039.avi,"Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5576473475; ",engaged,1
0.2178017944,0.3868353367,0.1884424984,0.6871355772,0.1466929317,0.0,0.2407696694,0.8733931184,0.4715138674,0.2006839365,0.4619936943,0.4753111005,0.6266492605,0.0,0.6366139054,0.5844621062,0.0396258458,0.0926373824,0.1091750562,0.0231741555,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Validation\400033\4000332075\4000332075.avi,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.8733931184; Chin Raiser, using the muscles: Mentalis, with a value of 0.6266492605; Lip Tightener, using the muscles: Orbicularis Oris, with a value of 0.6366139054; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.5844621062; ",bored,3
0.3946086466,0.4747486413,0.4521357417,0.5848853588,0.1041826606,0.0,0.1426437497,0.1523338854,0.4699982703,0.1152949557,0.4514370263,0.2851560712,0.5343354344,0.0,0.4854272902,0.4282547534,0.9563837051,0.431848228,0.0394001156,0.0533508211,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\110017\1100172007\1100172007.avi,"Chin Raiser, using the muscles: Mentalis, with a value of 0.5343354344; Lip Part, using the muscles: Depressor Labii Inferioris, with a value of 0.9563837051; ",bored,3
0.2320297807,0.4550813735,0.1516073197,0.3680285513,0.3815290928,0.0,0.504064858,0.9424218535,0.4690036178,0.3307625651,0.584864974,0.6028837562,0.6031198502,0.0,0.4577696621,0.4545297325,0.0229801107,0.0854821652,0.0723071396,0.0630437434,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\111003\1110032049\1110032049.avi,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.9424218535; Dimpler, using the muscles: Buccinator, with a value of 0.584864974; Lip Corner Depressor, using the muscles: Depressor Anguli Oris, with a value of 0.6028837562; Chin Raiser, using the muscles: Mentalis, with a value of 0.6031198502; ",bored,3
0.2561064661,0.4306385517,0.5497192144,0.3452731371,0.1774969697,0.0,0.4485915303,0.6487658024,0.4677534997,0.2546820939,0.3262374699,0.3204272985,0.6065474153,0.0,0.5423721075,0.564786613,0.37321347,0.1276482195,0.2192503065,0.0235445555,C:\Users\Alessandro\Desktop\bachelor-s-thesis\datasets\DAiSEE\DataSet\Train\210058\2100581041\2100581041.avi,"Upper Lip Raiser, using the muscles: Levator Labii Superioris, with a value of 0.6487658024; Chin Raiser, using the muscles: Mentalis, with a value of 0.6065474153; Lip Tightener, using the muscles: Orbicularis Oris, with a value of 0.5423721075; Lip Pressor, using the muscles: Orbicularis Oris, with a value of 0.564786613; ",engaged,1
