act_au01_89-1,['528_1'-1]
act_au26_133-1,['1222_1'-1]
act_au25_142-1,['1224_1'-1]
act_au26_134-1,['1224_1'-1]
act_au25_143-1,['1290_1'-1]
act_au26_135-1,['1290_1'-1]
act_au25_144-1,['1220_1'-1]
act_au26_136-1,['1220_1'-1]
act_au25_145-1,['1259_1'-1]
act_au26_137-1,['1259_1'-1]
act_au25_146-1,['1219_1'-1]
act_au26_138-1,['1219_1'-1]
act_au25_147-1,['1293_1'-1]
act_au26_139-1,['1293_1'-1]
act_au25_148-1,['1360_1'-1]
act_au26_140-1,['1360_1'-1]
act_au25_149-1,['1218_1'-1]
act_au26_141-1,['1218_1'-1]
act_au25_150-1,['1216_1'-1]
act_au26_142-1,['1216_1'-1]
act_au11_109-1,[]
act_au11_110-1,[]
act_au11_111-1,['1385_1'-1]
act_au11_112-1,[]
act_au11_113-1,[]
act_au11_114-1,[]
act_au11_115-1,['1372_1'-1]
act_au11_116-1,['1369_1'-1]
act_au11_117-1,['1367_1'-1]
act_au28_20-1,[]
act_au28_21-1,[]
act_au28_22-1,[]
act_au28_23-1,['2010_1'-1]
act_au28_24-1,[]
act_au28_25-1,['2007_1'-1]
act_au28_26-1,[]
act_au28_27-1,[]
act_au28_28-1,['1996_1'-1]
act_au28_29-1,[]
act_au28_30-1,[]
act_au28_31-1,['1986_1'-1]
act_au28_32-1,['1984_1'-1]
act_au28_33-1,[]
act_au28_34-1,[]
act_au28_35-1,['1976_1'-1]
act_au28_36-1,['1973_1'-1]
act_au28_37-1,[]
act_au28_38-1,[]
act_au28_39-1,[]
act_au28_40-1,[]
act_au28_41-1,[]
act_au28_42-1,[]
act_au28_43-1,['1944_1'-1]
act_au28_44-1,[]
act_au28_45-1,[]
act_au28_46-1,[]
act_au28_47-1,[]
act_au28_48-1,[]
act_au28_49-1,['1919_1'-1]
act_au28_50-1,['1916_1'-1]
act_au28_51-1,[]
act_au28_52-1,[]
act_au28_53-1,[]
act_au28_54-1,[]
act_au28_55-1,[]
act_au28_56-1,[]
act_au28_57-1,[]
act_au28_58-1,[]
act_au11_91-2,['1419_1'-1]
act_au28_59-1,[]
act_au11_92-2,['1212_1'-1]
act_au28_60-1,['1896_1'-1]
act_au11_93-2,['1895_1'-1]
act_au11_94-2,['1894_1'-1]
act_au28_61-1,[]
act_au23_102-1,['1684_1'-1]
act_au11_95-2,['1889_1'-1]
act_au28_62-1,['1888_1'-1]
act_au11_96-2,['1887_1'-1]
act_au23_103-1,[]
act_au28_63-1,['1886_1'-1]
act_au11_97-2,['391_1'-1,'1407_1'-1]
act_au23_104-1,['1684_1'-1]
act_au23_105-1,['1882_1'-1]
act_au11_98-2,['1881_1'-1]
act_au28_64-1,['1880_1'-1]
act_au23_106-1,['1879_1'-1]
act_au28_65-1,['1877_1'-1]
act_au23_107-1,[]
act_au28_66-1,[]
act_au11_99-2,['1873_1'-1]
act_au23_108-1,[]
act_au11_100-2,['1871_1'-1]
act_au23_109-1,[]
act_au28_67-1,[]
act_au11_101-2,['1870_1'-1]
act_au11_102-2,['1868_1'-1,'1398_1'-1]
act_au23_110-1,[]
act_au11_103-2,['391_1'-1]
act_au11_104-2,['2096_1'-1]
act_au23_111-1,[]
act_au11_105-2,['1862_1'-1,'1394_1'-1]
act_au23_112-1,[]
act_au11_106-2,['1859_1'-1]
act_au23_113-1,[]
act_au10_133-1,[]
act_au11_107-2,['1862_1'-1]
act_au23_114-1,[]
act_au10_134-1,[]
act_au23_115-1,[]
act_au28_68-1,[]
act_au10_135-1,[]
act_au23_116-1,[]
act_au10_136-1,[]
act_au28_69-1,['1850_1'-1]
act_au23_117-1,[]
act_au10_137-1,['1848_1'-1]
act_au11_108-2,[]
act_au23_118-1,[]
act_au10_138-1,['1979_1'-1]
act_au26_14-2,['2345_1'-1]
act_au26_15-2,['2355_1'-1]
act_au26_16-2,['2343_1'-1]
act_au26_17-2,['2340_1'-1]
act_au26_18-2,['2337_1'-1]
act_au26_19-2,['2335_1'-1]
act_au26_20-2,['2332_1'-1]
act_au26_21-2,[]
act_au26_22-2,[]
act_au26_23-2,[]
act_au26_24-2,['2310_1'-1]
act_au26_25-2,['2309_1'-1]
act_au26_26-2,['2303_1'-1]
act_au26_27-2,[]
act_au26_28-2,['2300_1'-1]
act_au26_29-2,['2298_1'-1]
act_au26_30-2,['2297_1'-1]
act_au26_31-2,['2295_1'-1]
act_au26_32-2,[]
act_au26_33-2,['2290_1'-1]
act_au26_34-2,[]
act_au02_119-2,['2751_1'-1]
act_au02_120-2,['2749_1'-1]
act_au02_121-2,[]
act_au02_122-2,['2747_1'-1]
act_au02_123-2,['2794_1'-1,'311_1'-1]
act_au02_124-2,['2745_1'-1,'310_1'-1]
act_au02_125-2,['2744_1'-1,'534_1'-1]
act_au09_89-1,['3465_1'-1]
act_au09_90-1,[]
act_au09_91-1,[]
act_au09_92-1,[]
act_au09_93-1,[]
act_au09_94-1,['3373_1'-1]
act_au09_95-1,['1010_1'-1]
act_au09_96-1,[]
act_au09_97-1,[]
act_au09_98-1,[]
act_au09_99-1,['1072_1'-1]
act_au09_100-1,['3365_1'-1]
act_au09_101-1,['3362_1'-1]
act_au09_102-1,['3359_1'-1]
act_au09_103-1,['3435_1'-1]
act_au09_104-1,['1010_1'-1]
act_au09_105-1,['3358_1'-1]
act_au09_106-1,['3355_1'-1]
act_au09_107-1,['3354_1'-1]
act_au09_108-1,[]
act_au09_109-1,[]
act_au09_110-1,[]
act_au09_111-1,[]
act_au09_112-1,[]
act_au09_113-1,[]
act_au09_114-1,['3342_1'-1]
act_au09_115-1,[]
act_au09_116-1,[]
act_au20_130-3,['3486_1'-1,'1395_1'-1]
act_au20_131-3,['3378_1'-1,'1394_1'-1,'1233_1'-1]
act_au20_132-3,['1901_1'-1,'1393_1'-1,'1232_1'-1]
act_au20_133-3,['3361_1'-1,'1391_1'-1,'1231_1'-1]
act_au20_134-3,['3329_1'-1,'1389_1'-1]
act_au11_84-3,['1913_1'-1,'1428_1'-1]
act_au20_135-3,['3372_1'-1]
act_au11_85-3,['1427_1'-1]
act_au20_136-3,['3372_1'-1,'1226_1'-1]
act_au09_117-1,['1925_1'-1]
act_au20_137-3,['3327_1'-1,'1387_1'-1,'1246_1'-1]
act_au20_138-3,['3326_1'-1,'1386_1'-1,'1225_1'-1]
act_au20_139-3,['3325_1'-1,'1549_1'-1,'1224_1'-1]
act_au11_86-3,['391_1'-1,'1426_1'-1]
act_au09_118-1,['1072_1'-1]
act_au20_140-3,['1885_1'-1,'1384_1'-1,'1223_1'-1]
act_au11_87-3,['1035_1'-1,'1903_1'-1]
act_au20_141-3,['1384_1'-1,'1382_1'-1]
act_au07_133-2,['1852_1'-1]
act_au09_119-1,['3322_1'-1]
act_au20_142-3,[]
act_au07_134-2,['1850_1'-1]
act_au11_88-3,['3319_1'-1]
act_au20_143-3,[]
act_au07_135-2,['1848_1'-1]
act_au11_89-3,['1913_1'-1]
act_au20_144-3,['1378_1'-1,'1220_1'-1]
act_au07_136-1,[]
act_au20_145-3,['1375_1'-1,'1259_1'-1]
act_au07_137-1,[]
act_au20_146-3,['1373_1'-1]
act_au07_138-1,[]
act_au20_147-3,['1370_1'-1,'1293_1'-1]
act_au07_139-1,['3314_1'-1]
act_au11_90-3,['3314_1'-1,'1900_1'-1]
act_au20_148-3,['1369_1'-1]
act_au07_140-1,['3311_1'-1]
act_au20_149-3,['1368_1'-1,'1218_1'-1]
act_au07_141-1,['3308_1'-1]
act_au20_150-3,['3307_1'-1,'1366_1'-1]
act_au07_142-1,['592_1'-1]
act_au23_100-2,['4026_1'-1]
act_au23_101-2,['4024_1'-1]
act_au06_119-3,['1133_1'-1,'6_1'-1]
act_au06_120-3,['4517_1'-1]
act_au06_121-2,[]
act_au06_122-2,[]
act_au06_123-2,[]
act_au06_124-2,[]
act_au06_125-2,[]
act_au06_126-2,[]
act_au06_127-2,[]
act_au06_128-2,[]
act_au06_129-2,[]
act_au06_130-2,[]
act_au06_131-2,[]
act_au06_132-2,[]
act_au06_133-2,['4504_1'-1]
act_au06_134-2,['4503_1'-1]
act_au06_135-2,['4502_1'-1]
act_au06_136-2,[]
act_au06_137-2,[]
act_au06_138-2,[]
act_au06_139-2,['4498_1'-1]
act_au06_140-2,['4497_1'-1]
act_au06_141-2,['1133_1'-1,'960_1'-1]
act_au06_142-2,['1133_1'-1]
act_au06_143-2,['4493_1'-1]
act_au06_144-1,['4492_1'-1]
act_au06_145-1,[]
act_au06_146-1,[]
act_au06_147-1,[]
act_au12_146-2,[]
act_au06_148-1,[]
act_au07_130-3,['4607_1'-1,'3326_1'-1,'1858_1'-1]
act_au12_147-2,[]
act_au06_149-1,[]
act_au07_131-3,['4486_1'-1,'3325_1'-1,'1858_1'-1]
act_au12_148-2,['900_1'-1]
act_au06_150-1,[]
act_au07_132-3,['1061_1'-1,'1855_1'-1]
act_au12_149-2,[]
act_au28_9-3,['2584_1'-1]
act_au28_10-3,['2065_1'-1]
act_au28_11-3,['2562_1'-1,'2060_1'-1]
act_au28_12-2,['2058_1'-1]
act_au28_13-2,['4742_1'-1,'1421_1'-1]
act_au05_112-1,[]
act_au28_14-2,['1421_1'-2]
act_au28_15-2,['4730_1'-1,'1421_1'-1]
act_au28_16-2,['4727_1'-1]
act_au28_17-2,['4726_1'-1]
act_au28_18-2,[]
act_au05_113-1,[]
act_au05_114-1,[]
act_au05_115-1,[]
act_au05_116-1,[]
act_au05_117-1,[]
act_au28_19-2,['4719_1'-1,'2036_1'-1]
act_au05_118-1,['4718_1'-1]
act_au05_119-1,[]
act_au05_120-1,[]
act_au05_121-1,['4714_1'-1]
act_au05_122-1,['3852_1'-1]
act_au28_8-5,['5138_1'-1,'1421_1'-1,'2594_1'-1,'674_1'-1]
act_au26_6-5,['5715_1'-1,'1360_1'-1]
act_au26_7-5,['1351_1'-1]
act_au26_8-5,['5693_1'-1,'2357_1'-1,'1350_1'-1]
act_au26_9-4,['2355_1'-1]
act_au26_10-4,['5660_1'-1,'2353_1'-1]
act_au25_69-3,['5621_1'-1,'1286_1'-1]
act_au25_70-3,['2261_1'-1,'1284_1'-1]
act_au25_71-3,['2227_1'-1,'1282_1'-1]
act_au25_72-3,['5615_1'-1,'2321_1'-1,'1281_1'-1]
act_au26_11-4,['5615_1'-1,'2351_1'-1,'986_1'-1]
act_au25_73-2,['1284_1'-1]
act_au25_74-2,['5610_1'-1,'1351_1'-1]
act_au25_75-2,['5608_1'-1,'1351_1'-1]
act_au25_76-2,['5606_1'-1,'1351_1'-1]
act_au25_77-2,['5604_1'-1,'1279_1'-1]
act_au26_12-4,['5604_1'-1,'2349_1'-1]
act_au25_78-2,['5603_1'-1,'1335_1'-1]
act_au25_79-2,['5602_1'-1,'1278_1'-1]
act_au25_80-2,['5601_1'-1,'1361_1'-1]
act_au25_81-2,['1276_1'-1]
act_au25_82-2,['1275_1'-1]
act_au25_83-2,['1348_1'-1]
act_au25_84-2,['1357_1'-1]
act_au26_13-3,['5587_1'-1,'2347_1'-1]
act_au25_85-2,['1348_1'-1]
act_au25_86-2,['1272_1'-1]
act_au25_87-2,['5580_1'-1,'1271_1'-1]
act_au25_88-2,['5579_1'-1,'1270_1'-1]
act_au25_89-2,['5578_1'-1,'1360_1'-1]
act_au25_90-2,['1330_1'-1,'1345_1'-1]
act_au25_91-2,['5576_1'-1,'1269_1'-1]
act_au25_92-2,['5575_1'-1,'1298_1'-1]
act_au25_93-2,['5572_1'-1,'1268_1'-1]
act_au25_94-2,['5571_1'-1,'1267_1'-1]
act_au25_95-2,['5566_1'-1,'1266_1'-1]
act_au25_96-2,['3313_1'-1,'1265_1'-1]
act_au25_97-2,['1264_1'-1]
act_au25_98-2,['1263_1'-1]
act_au25_99-2,['5556_1'-1,'1262_1'-1]
act_au25_100-2,['1261_1'-1]
act_au25_101-2,['1260_1'-1]
act_au25_102-2,['5547_1'-1,'1259_1'-1]
act_au25_103-2,['5544_1'-1,'1258_1'-1]
act_au25_104-2,['1257_1'-1]
act_au25_105-2,['1256_1'-1]
act_au25_106-2,['1255_1'-1]
act_au43_109-1,[]
act_au43_110-1,[]
act_au43_111-1,[]
act_au43_112-1,[]
act_au43_113-1,[]
act_au43_114-1,[]
act_au43_115-1,[]
act_au43_116-1,[]
act_au04_106-7,['3519_1'-1,'4977_1'-1,'2794_1'-1,'752_1'-1]
act_au43_117-1,[]
act_au04_107-7,['5797_1'-1,'4976_1'-1,'2745_1'-1,'17_1'-1,'749_1'-1]
act_au43_118-1,[]
act_au04_108-7,['4974_1'-1,'2744_1'-1,'746_1'-1]
act_au43_119-1,[]
act_au43_120-1,[]
act_au04_109-6,['3519_1'-1,'4972_1'-1,'2226_1'-1,'744_1'-1]
act_au43_121-1,[]
act_au04_110-6,['5780_1'-1,'5803_1'-1,'4970_1'-1,'1129_1'-1,'743_1'-1]
act_au43_122-1,[]
act_au04_111-5,['5780_1'-1,'1129_1'-1]
act_au43_123-1,[]
act_au04_112-5,['3519_1'-1,'2306_1'-1,'739_1'-1]
act_au43_124-1,[]
act_au04_113-5,['4611_1'-1,'735_1'-1]
act_au43_125-1,['5904_1'-1]
act_au04_114-5,['5904_1'-1]
act_au43_126-1,['5790_1'-1]
act_au04_115-5,['5790_1'-2]
act_au43_127-1,['5900_1'-1]
act_au04_116-5,['5900_1'-1,'17_1'-1,'2306_1'-1]
act_au43_128-1,['5898_1'-1]
act_au04_117-5,['5898_1'-1,'5789_1'-1,'1129_1'-1]
act_au43_129-1,['5896_1'-1]
act_au04_118-5,['5896_1'-1,'5788_1'-1,'713_1'-1]
act_au43_130-1,[]
act_au04_119-5,['5895_1'-1,'5871_1'-1,'1414_1'-1]
act_au43_131-1,[]
act_au04_120-5,['5894_1'-1,'4960_1'-1,'4503_1'-1]
act_au43_132-1,[]
act_au04_121-5,['2437_1'-1,'4959_1'-1,'4502_1'-1]
act_au43_133-1,[]
act_au04_122-5,['2860_1'-1,'17_1'-1,'4958_1'-1]
act_au43_134-1,[]
act_au04_123-5,['5784_1'-1,'685_1'-1]
act_au43_135-1,[]
act_au04_124-5,['5783_1'-1,'2267_1'-1,'4498_1'-1]
act_au43_136-1,[]
act_au04_125-4,['5782_1'-1,'17_1'-1,'4497_1'-1]
act_au43_137-1,[]
act_au04_126-4,['4956_1'-1]
act_au43_138-1,[]
act_au04_127-4,['5781_1'-1,'4955_1'-1]
act_au43_139-1,[]
act_au04_128-4,['5780_1'-1,'4954_1'-1,'4493_1'-1]
act_au43_140-1,[]
act_au04_129-4,['4953_1'-1]
act_au43_141-1,[]
act_au04_130-4,['4952_1'-1]
act_au43_142-1,[]
act_au04_131-4,['195_1'-1,'4611_1'-1]
act_au43_143-1,[]
act_au23_96-3,['3818_1'-1,'4032_1'-1]
act_au04_132-3,['3318_1'-1]
act_au43_144-1,[]
act_au23_97-3,['5883_1'-1,'4030_1'-1,'1689_1'-1]
act_au04_133-3,['4948_1'-1,'1129_1'-1]
act_au43_145-1,[]
act_au04_134-2,['4485_1'-1]
act_au23_98-3,['4028_1'-1,'1587_1'-1]
act_au43_146-1,[]
act_au04_135-2,[]
act_au43_147-1,[]
act_au43_148-1,[]
act_au04_136-1,['5880_1'-1]
act_au23_99-3,['1896_1'-1]
act_au43_149-1,[]
act_au20_62-8,['6144_1'-1,'1904_1'-1,'1924_1'-1,'1728_1'-1,'1563_1'-1]
act_au20_63-8,['1935_1'-1,'1901_1'-1,'1922_1'-1,'1614_1'-1,'1486_1'-1]
act_au20_64-8,['46_1'-1,'4074_1'-1,'1901_1'-1,'1915_1'-1,'1612_1'-1,'1487_1'-1]
act_au20_65-8,['4073_1'-1,'1901_1'-1,'1486_1'-1]
act_au20_66-8,['4072_1'-1,'3436_1'-1,'1907_1'-1,'1531_1'-1,'1347_1'-1]
act_au20_67-8,['4068_1'-1,'1901_1'-1,'1904_1'-1,'1480_1'-1,'1288_1'-1]
act_au20_68-8,['5640_1'-1,'4067_1'-1,'3433_1'-1,'1287_1'-1]
act_au20_69-8,['4066_1'-1,'3470_1'-1,'2088_1'-1,'1605_1'-1]
act_au20_70-8,['3430_1'-1,'1904_1'-1,'1603_1'-1]
act_au20_71-8,['3428_1'-1,'1901_1'-1]
act_au20_72-8,['6129_1'-1,'3426_1'-1,'1899_1'-1,'1601_1'-1]
act_au20_73-8,['4059_1'-1,'1899_1'-1,'1599_1'-1]
act_au20_74-8,['6129_1'-1,'3423_1'-1,'1598_1'-1]
act_au20_75-8,['6129_1'-1,'3421_1'-1,'1896_1'-1]
act_au20_76-8,['6129_1'-1,'4055_1'-1,'1899_1'-1,'1895_1'-1]
act_au20_77-8,['6125_1'-1,'5624_1'-1,'1899_1'-1,'1595_1'-1,'1279_1'-1]
act_au20_78-8,['6120_1'-1,'4052_1'-1,'3419_1'-1]
act_au20_79-8,['3433_1'-1,'1278_1'-1]
act_au20_80-8,['5618_1'-1,'1422_1'-1,'1593_1'-1,'1361_1'-1]
act_au20_81-8,['5616_1'-1,'1422_1'-1,'1885_1'-1,'1276_1'-1]
act_au20_82-8,['5615_1'-1,'1904_1'-1,'1275_1'-1]
act_au20_83-8,['5613_1'-1,'46_1'-1,'3414_1'-1,'1882_1'-1]
act_au20_84-8,['5610_1'-1,'1422_1'-1,'1879_1'-1]
act_au20_85-8,['5608_1'-1,'3410_1'-1,'1876_1'-1,'1563_1'-1]
act_au20_86-8,['5606_1'-1,'3407_1'-1]
act_au20_87-8,['5604_1'-1,'3404_1'-1,'1581_1'-1,'1271_1'-1]
act_au20_88-8,['5603_1'-1,'4040_1'-1,'3402_1'-1,'1618_1'-1,'1270_1'-1]
act_au20_89-8,['5602_1'-1,'4039_1'-1,'3404_1'-1,'1869_1'-1,'1618_1'-1]
act_au20_90-8,['4036_1'-1,'3398_1'-1,'1885_1'-1,'1578_1'-1]
act_au20_91-8,['5600_1'-1,'4034_1'-1,'3396_1'-1,'1384_1'-1,'1577_1'-1,'1442_1'-1]
act_au20_92-8,['4032_1'-1,'3393_1'-1,'1863_1'-1,'1574_1'-1,'1441_1'-1]
act_au20_93-8,['5595_1'-1,'4030_1'-1,'3402_1'-1,'1860_1'-1,'1573_1'-1,'1440_1'-1]
act_au20_94-8,['6129_1'-1,'3388_1'-1,'1860_1'-1,'1618_1'-1,'1439_1'-1,'1267_1'-1]
act_au20_95-8,['5592_1'-1,'3386_1'-1,'1568_1'-1,'1522_1'-1,'1266_1'-1]
act_au20_96-7,['4129_1'-1,'3383_1'-1,'1438_1'-1,'1265_1'-1]
act_au12_108-5,['1878_1'-1,'957_1'-1,'56_1'-1]
act_au12_109-5,['4536_1'-1,'1875_1'-1,'56_1'-1]
act_au12_110-5,['4534_1'-1,'1873_1'-1,'952_1'-1,'51_1'-1]
act_au12_111-5,['4533_1'-1,'1871_1'-1]
act_au20_97-7,['4027_1'-1,'1885_1'-1,'1436_1'-1]
act_au12_112-5,['4532_1'-1]
act_au20_98-7,['5584_1'-1,'3380_1'-1,'1435_1'-1]
act_au12_113-5,['944_1'-1]
act_au20_99-7,['5582_1'-1,'3378_1'-1]
act_au12_114-5,['2096_1'-1,'244_1'-1]
act_au20_100-7,['3376_1'-1]
act_au12_115-5,['1135_1'-1,'1862_1'-1,'939_1'-1,'244_1'-1]
act_au20_101-6,['5579_1'-1,'4120_1'-1,'3374_1'-1,'1260_1'-1]
act_au12_116-5,['1135_1'-1,'1859_1'-1,'936_1'-1]
act_au20_102-5,['5578_1'-1,'3373_1'-1,'1259_1'-1]
act_au12_117-5,['1862_1'-1,'934_1'-1,'140_1'-1]
act_au20_103-5,['3372_1'-1,'1431_1'-1,'1258_1'-1]
act_au12_118-5,['1856_1'-1,'932_1'-1,'140_1'-1]
act_au20_104-5,['3370_1'-1,'1430_1'-1,'1257_1'-1]
act_au12_119-5,['1135_1'-1,'1853_1'-1,'36_1'-1]
act_au20_105-5,['5572_1'-1,'3368_1'-1,'1429_1'-1,'1256_1'-1]
act_au12_120-5,['1135_1'-1,'1851_1'-1,'928_1'-1,'140_1'-1]
act_au20_106-5,['3366_1'-1,'1428_1'-1,'1255_1'-1]
act_au12_121-5,['6090_1'-1,'1848_1'-1,'34_1'-1]
act_au20_107-5,['5568_1'-1,'3433_1'-1]
act_au11_70-4,['1035_1'-1,'1447_1'-1]
act_au12_122-5,['6089_1'-1,'924_1'-1,'33_1'-1]
act_au20_108-5,['3364_1'-1,'1253_1'-1]
act_au12_123-4,['921_1'-1,'31_1'-1]
act_au20_109-5,['5566_1'-1,'3361_1'-1,'1252_1'-1]
act_au12_124-4,['1132_1'-1]
act_au20_110-5,['3359_1'-1,'1551_1'-1,'1251_1'-1]
act_au11_71-4,[]
act_au12_125-4,['6084_1'-1,'1132_1'-1,'921_1'-1,'27_1'-1]
act_au20_111-5,['3361_1'-1,'1422_1'-1,'1250_1'-1]
act_au12_126-4,['4511_1'-1,'918_1'-1,'183_1'-1]
act_au20_112-5,['5559_1'-1,'1885_1'-1,'1563_1'-1,'1257_1'-1]
act_au11_72-4,['886_1'-1]
act_au12_127-4,['1135_1'-1,'4511_1'-1,'916_1'-1,'183_1'-1]
act_au20_113-5,['3357_1'-1,'1531_1'-1,'1248_1'-1]
act_au12_128-4,['1132_1'-1,'24_1'-1]
act_au20_114-5,['2612_1'-1]
act_au11_73-4,[]
